price,rating,reviews,room_type,accommodates,bedrooms,minimum_stay,neighborhood,district,walk_score,transit_score,bike_score
29,5,4,Shared room,3,1,1,Avondale,North,84,68,77
159,5,9,Entire home/apt,8,3,2,Avondale,North,84,68,77
135,4.5,4,Entire home/apt,6,3,2,Avondale,North,84,68,77
110,5,40,Private room,2,1,1,Avondale,North,84,68,77
119,5,21,Entire home/apt,6,2,NA,Avondale,North,84,68,77
152,5,33,Entire home/apt,8,2,NA,Avondale,North,84,68,77
20,5,34,Shared room,1,1,1,Avondale,North,84,68,77
143,4.5,6,Entire home/apt,8,3,2,Avondale,North,84,68,77
70,4.5,48,Private room,4,1,2,Avondale,North,84,68,77
29,4.5,10,Private room,2,1,1,Avondale,North,84,68,77
30,4.5,3,Private room,1,1,1,Avondale,North,84,68,77
46,4.5,12,Shared room,7,1,1,Avondale,North,84,68,77
85,4.5,127,Entire home/apt,3,2,2,Avondale,North,84,68,77
70,5,31,Private room,2,1,1,Avondale,North,84,68,77
130,4.5,20,Entire home/apt,8,2,1,Avondale,North,84,68,77
95,4.5,38,Entire home/apt,2,1,4,Avondale,North,84,68,77
299,5,13,Entire home/apt,5,2,2,Avondale,North,84,68,77
45,4.5,75,Private room,2,1,1,Avondale,North,84,68,77
130,5,49,Entire home/apt,3,1,2,Avondale,North,84,68,77
99,5,25,Entire home/apt,4,2,1,Avondale,North,84,68,77
125,5,41,Entire home/apt,4,2,2,Edgewater,Far North,89,72,85
95,5,54,Entire home/apt,4,1,2,Edgewater,Far North,89,72,85
194,5,20,Entire home/apt,6,3,3,Edgewater,Far North,89,72,85
250,5,5,Entire home/apt,8,2,2,Edgewater,Far North,89,72,85
100,4.5,4,Entire home/apt,4,2,4,Edgewater,Far North,89,72,85
44,5,5,Private room,3,1,2,Edgewater,Far North,89,72,85
50,4,8,Entire home/apt,6,1,1,Edgewater,Far North,89,72,85
64,5,24,Private room,2,1,3,Edgewater,Far North,89,72,85
100,5,18,Private room,2,1,1,Edgewater,Far North,89,72,85
60,5,284,Private room,2,1,1,Edgewater,Far North,89,72,85
95,5,13,Entire home/apt,4,1,1,Edgewater,Far North,89,72,85
125,4.5,3,Entire home/apt,5,2,1,Edgewater,Far North,89,72,85
51,5,14,Entire home/apt,2,0,3,Edgewater,Far North,89,72,85
120,5,11,Private room,2,1,1,Edgewater,Far North,89,72,85
105,4.5,27,Entire home/apt,4,1,2,Edgewater,Far North,89,72,85
125,5,18,Entire home/apt,2,1,1,Edgewater,Far North,89,72,85
65,5,44,Entire home/apt,2,0,2,Edgewater,Far North,89,72,85
70,5,47,Private room,2,1,2,Edgewater,Far North,89,72,85
75,4.5,35,Entire home/apt,2,1,1,Edgewater,Far North,89,72,85
44,5,21,Private room,1,1,3,Edgewater,Far North,89,72,85
65,5,16,Private room,1,1,2,Edgewater,Far North,89,72,85
120,4.5,173,Entire home/apt,4,2,NA,Edgewater,Far North,89,72,85
70,5,6,Entire home/apt,2,0,2,Edgewater,Far North,89,72,85
70,4.5,16,Private room,2,1,1,Edgewater,Far North,89,72,85
90,5,27,Entire home/apt,2,1,2,Edgewater,Far North,89,72,85
199,5,9,Entire home/apt,8,2,2,Edgewater,Far North,89,72,85
42,5,83,Private room,2,1,1,Edgewater,Far North,89,72,85
38,5,8,Private room,2,1,1,Edgewater,Far North,89,72,85
125,5,8,Entire home/apt,3,1,1,Edgewater,Far North,89,72,85
85,4.5,33,Entire home/apt,4,1,1,Edgewater,Far North,89,72,85
60,5,14,Private room,2,1,1,Edgewater,Far North,89,72,85
96,5,52,Entire home/apt,2,1,2,Edgewater,Far North,89,72,85
124,5,7,Entire home/apt,2,1,1,Edgewater,Far North,89,72,85
170,5,117,Entire home/apt,7,3,2,Edgewater,Far North,89,72,85
85,5,13,Private room,2,1,1,Edgewater,Far North,89,72,85
150,4.5,67,Entire home/apt,6,3,1,Edison Park,Far North,66,46,56
125,4.5,43,Entire home/apt,4,2,3,Hermosa,Northwest,79,60,67
55,5,14,Private room,4,1,1,Hermosa,Northwest,79,60,67
75,5,22,Private room,2,1,2,Irving Park,Northwest,85,66,69
350,5,8,Entire home/apt,6,4,1,Irving Park,Northwest,85,66,69
55,5,30,Private room,1,1,1,Irving Park,Northwest,85,66,69
159,4.5,3,Entire home/apt,8,3,NA,Irving Park,Northwest,85,66,69
500,5,11,Entire home/apt,8,3,1,Irving Park,Northwest,85,66,69
99,5,89,Entire home/apt,4,2,2,Irving Park,Northwest,85,66,69
100,5,6,Private room,3,1,NA,Irving Park,Northwest,85,66,69
120,5,61,Entire home/apt,6,2,3,Irving Park,Northwest,85,66,69
50,5,4,Private room,2,1,1,Irving Park,Northwest,85,66,69
50,5,8,Private room,1,1,1,Irving Park,Northwest,85,66,69
74,4.5,17,Private room,4,1,1,Irving Park,Northwest,85,66,69
1000,5,4,Entire home/apt,16,0,1,Irving Park,Northwest,85,66,69
99,4.5,4,Entire home/apt,4,2,3,Irving Park,Northwest,85,66,69
100,4.5,7,Entire home/apt,2,1,2,Irving Park,Northwest,85,66,69
60,5,59,Private room,2,1,1,Irving Park,Northwest,85,66,69
49,5,8,Private room,3,1,1,Irving Park,Northwest,85,66,69
85,5,10,Entire home/apt,6,2,3,Irving Park,Northwest,85,66,69
43,5,21,Private room,2,1,NA,Irving Park,Northwest,85,66,69
89,5,5,Private room,2,1,1,Irving Park,Northwest,85,66,69
40,5,11,Private room,1,1,2,Irving Park,Northwest,85,66,69
200,4.5,6,Entire home/apt,5,1,2,Irving Park,Northwest,85,66,69
75,5,28,Entire home/apt,3,1,2,Irving Park,Northwest,85,66,69
95,5,59,Private room,8,1,2,Jefferson Park,Far North,72,64,70
47,5,12,Private room,2,1,2,Jefferson Park,Far North,72,64,70
159,5,28,Entire home/apt,8,3,NA,Jefferson Park,Far North,72,64,70
75,5,11,Private room,2,1,1,Jefferson Park,Far North,72,64,70
85,4.5,10,Entire home/apt,11,3,1,Jefferson Park,Far North,72,64,70
80,4.5,15,Private room,2,1,1,Jefferson Park,Far North,72,64,70
83,5,35,Entire home/apt,3,1,1,Jefferson Park,Far North,72,64,70
65,5,6,Private room,1,1,2,Jefferson Park,Far North,72,64,70
60,5,28,Private room,2,1,3,Jefferson Park,Far North,72,64,70
100,5,74,Private room,6,1,NA,Jefferson Park,Far North,72,64,70
140,4.5,8,Entire home/apt,6,3,3,Jefferson Park,Far North,72,64,70
200,3.5,3,Entire home/apt,5,2,7,Jefferson Park,Far North,72,64,70
73,5,15,Entire home/apt,2,1,1,Jefferson Park,Far North,72,64,70
85,5,15,Private room,2,1,2,Jefferson Park,Far North,72,64,70
80,4.5,19,Private room,2,1,1,Jefferson Park,Far North,72,64,70
42,5,18,Private room,1,1,NA,Jefferson Park,Far North,72,64,70
40,4.5,17,Private room,2,1,1,Jefferson Park,Far North,72,64,70
45,5,6,Private room,2,1,1,Jefferson Park,Far North,72,64,70
45,5,22,Private room,2,1,NA,Jefferson Park,Far North,72,64,70
110,5,18,Entire home/apt,8,3,2,Jefferson Park,Far North,72,64,70
220,5,7,Entire home/apt,2,1,2,Lincoln Park,North,94,79,88
110,5,4,Entire home/apt,2,0,1,Lincoln Park,North,94,79,88
125,4.5,13,Entire home/apt,1,1,14,Lincoln Park,North,94,79,88
200,4,15,Entire home/apt,6,2,NA,Lincoln Park,North,94,79,88
100,4,3,Entire home/apt,2,0,1,Lincoln Park,North,94,79,88
135,5,80,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88
100,4.5,24,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88
135,5,24,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88
160,4.5,8,Entire home/apt,4,2,2,Lincoln Park,North,94,79,88
165,5,17,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88
145,5,8,Entire home/apt,4,1,1,Lincoln Park,North,94,79,88
95,5,12,Entire home/apt,2,0,1,Lincoln Park,North,94,79,88
109,5,49,Entire home/apt,2,1,3,Lincoln Park,North,94,79,88
159,5,22,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88
150,5,29,Entire home/apt,4,1,5,Lincoln Park,North,94,79,88
90,5,9,Entire home/apt,2,1,2,Lincoln Park,North,94,79,88
110,5,206,Private room,2,1,2,Lincoln Park,North,94,79,88
99,5,40,Private room,2,1,1,Lincoln Park,North,94,79,88
79,4.5,9,Private room,2,1,2,Lincoln Park,North,94,79,88
110,4.5,16,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88
125,5,4,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88
100,4.5,61,Private room,2,1,4,Lincoln Park,North,94,79,88
290,4.5,37,Entire home/apt,6,3,2,Lincoln Park,North,94,79,88
150,5,6,Entire home/apt,4,2,2,Lincoln Park,North,94,79,88
225,5,5,Entire home/apt,4,2,4,Lincoln Park,North,94,79,88
350,5,4,Entire home/apt,7,2,3,Lincoln Park,North,94,79,88
130,5,80,Private room,2,1,2,Lincoln Park,North,94,79,88
250,5,13,Private room,2,1,1,Lincoln Park,North,94,79,88
275,5,11,Entire home/apt,10,4,NA,Lincoln Park,North,94,79,88
125,4.5,13,Entire home/apt,4,1,7,Lincoln Park,North,94,79,88
99,5,6,Entire home/apt,1,1,2,Lincoln Park,North,94,79,88
350,5,27,Entire home/apt,6,3,4,Lincoln Park,North,94,79,88
275,5,16,Entire home/apt,4,2,2,Lincoln Park,North,94,79,88
172,5,13,Entire home/apt,6,2,2,Lincoln Park,North,94,79,88
95,4,82,Entire home/apt,3,0,1,Lincoln Park,North,94,79,88
168,5,86,Entire home/apt,2,1,2,Lincoln Park,North,94,79,88
275,5,4,Entire home/apt,8,3,2,Lincoln Park,North,94,79,88
144,5,4,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88
295,5,13,Entire home/apt,6,3,5,Lincoln Park,North,94,79,88
290,5,9,Entire home/apt,6,3,3,Lincoln Park,North,94,79,88
135,5,6,Entire home/apt,2,1,3,Lincoln Park,North,94,79,88
125,4.5,18,Entire home/apt,2,0,2,Lincoln Park,North,94,79,88
200,5,16,Entire home/apt,4,1,1,Lincoln Park,North,94,79,88
150,5,7,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88
145,4.5,56,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88
100,5,15,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88
120,4.5,37,Entire home/apt,4,1,3,Lincoln Park,North,94,79,88
119,5,10,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88
99,4.5,9,Entire home/apt,5,0,1,Lincoln Park,North,94,79,88
125,5,199,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88
85,5,3,Private room,2,1,2,Lincoln Park,North,94,79,88
119,5,3,Entire home/apt,2,1,NA,Lincoln Park,North,94,79,88
250,4.5,6,Entire home/apt,9,2,NA,Lincoln Park,North,94,79,88
200,4.5,3,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88
125,5,4,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88
250,4.5,9,Entire home/apt,10,1,1,Lincoln Park,North,94,79,88
165,4.5,8,Entire home/apt,3,1,3,Lincoln Park,North,94,79,88
60,5,7,Private room,2,1,2,Lincoln Square,Far North,82,60,87
73,5,13,Private room,2,1,1,Lincoln Square,Far North,82,60,87
320,5,8,Entire home/apt,8,3,1,Lincoln Square,Far North,82,60,87
60,5,6,Private room,2,1,2,Lincoln Square,Far North,82,60,87
45,4.5,36,Private room,2,1,1,Lincoln Square,Far North,82,60,87
65,5,3,Private room,2,1,1,Lincoln Square,Far North,82,60,87
125,5,17,Entire home/apt,5,2,2,Lincoln Square,Far North,82,60,87
180,4.5,3,Entire home/apt,4,2,2,Lincoln Square,Far North,82,60,87
75,5,6,Private room,2,1,2,Lincoln Square,Far North,82,60,87
150,5,15,Entire home/apt,4,2,2,Lincoln Square,Far North,82,60,87
120,4.5,13,Entire home/apt,2,1,2,Lincoln Square,Far North,82,60,87
150,4.5,8,Entire home/apt,4,2,3,Lincoln Square,Far North,82,60,87
80,4.5,38,Entire home/apt,5,2,3,Lincoln Square,Far North,82,60,87
48,5,14,Private room,1,1,1,Lincoln Square,Far North,82,60,87
105,4.5,6,Private room,4,1,2,Lincoln Square,Far North,82,60,87
30,4.5,15,Shared room,2,1,1,Logan Square,North,88,68,81
44,4.5,103,Private room,2,1,4,Logan Square,North,88,68,81
80,4.5,9,Private room,2,1,1,Logan Square,North,88,68,81
169,5,36,Entire home/apt,6,2,NA,Logan Square,North,88,68,81
75,5,11,Entire home/apt,2,1,1,Logan Square,North,88,68,81
235,5,39,Entire home/apt,6,3,3,Logan Square,North,88,68,81
140,5,13,Entire home/apt,2,1,1,Logan Square,North,88,68,81
60,5,27,Private room,1,1,1,Logan Square,North,88,68,81
60,4.5,52,Private room,2,1,2,Logan Square,North,88,68,81
95,4.5,5,Entire home/apt,3,1,2,Logan Square,North,88,68,81
90,5,3,Entire home/apt,2,1,2,Logan Square,North,88,68,81
79,5,160,Private room,2,1,1,Logan Square,North,88,68,81
132,4.5,10,Entire home/apt,6,2,2,Logan Square,North,88,68,81
65,4.5,5,Entire home/apt,4,1,NA,Logan Square,North,88,68,81
84,5,4,Private room,4,1,1,Logan Square,North,88,68,81
90,5,8,Entire home/apt,4,2,2,Logan Square,North,88,68,81
400,5,4,Entire home/apt,4,2,1,Logan Square,North,88,68,81
100,5,25,Private room,2,1,2,Logan Square,North,88,68,81
115,5,41,Entire home/apt,4,2,NA,Logan Square,North,88,68,81
35,5,15,Private room,2,1,1,Logan Square,North,88,68,81
75,5,14,Entire home/apt,4,1,3,Logan Square,North,88,68,81
250,5,4,Entire home/apt,5,3,2,Logan Square,North,88,68,81
45,5,4,Private room,2,1,1,Logan Square,North,88,68,81
89,4.5,17,Entire home/apt,2,1,2,Logan Square,North,88,68,81
68,5,8,Private room,2,1,1,Logan Square,North,88,68,81
150,5,6,Entire home/apt,2,1,2,Logan Square,North,88,68,81
100,5,87,Private room,3,1,2,Logan Square,North,88,68,81
130,5,63,Entire home/apt,2,2,2,Logan Square,North,88,68,81
50,5,4,Private room,3,1,1,Logan Square,North,88,68,81
100,4.5,5,Entire home/apt,2,1,1,Logan Square,North,88,68,81
65,5,28,Private room,2,1,2,Logan Square,North,88,68,81
105,5,11,Entire home/apt,4,3,2,Logan Square,North,88,68,81
140,5,4,Entire home/apt,3,2,3,Logan Square,North,88,68,81
80,4.5,100,Entire home/apt,4,1,2,Logan Square,North,88,68,81
100,4.5,162,Entire home/apt,3,1,1,Logan Square,North,88,68,81
150,5,3,Entire home/apt,3,1,1,Logan Square,North,88,68,81
75,5,87,Private room,2,1,1,Logan Square,North,88,68,81
45,5,12,Private room,2,1,2,Logan Square,North,88,68,81
35,5,30,Private room,2,1,2,Logan Square,North,88,68,81
55,5,37,Private room,4,1,1,Logan Square,North,88,68,81
70,5,4,Private room,2,1,1,Logan Square,North,88,68,81
60,5,4,Private room,2,1,1,Logan Square,North,88,68,81
139,5,32,Entire home/apt,5,2,NA,Logan Square,North,88,68,81
55,5,83,Private room,2,1,3,Logan Square,North,88,68,81
48,5,9,Private room,2,1,1,Logan Square,North,88,68,81
40,4.5,22,Private room,1,1,1,Logan Square,North,88,68,81
110,5,26,Private room,3,1,1,Logan Square,North,88,68,81
155,5,27,Entire home/apt,6,2,NA,Logan Square,North,88,68,81
139,4.5,3,Entire home/apt,8,2,2,Logan Square,North,88,68,81
30,5,4,Private room,2,1,2,Logan Square,North,88,68,81
120,4.5,3,Entire home/apt,5,2,1,Logan Square,North,88,68,81
89,4.5,7,Entire home/apt,5,2,1,Logan Square,North,88,68,81
75,5,12,Private room,2,1,1,Logan Square,North,88,68,81
70,4.5,4,Private room,2,1,1,Logan Square,North,88,68,81
50,5,6,Private room,2,1,1,Logan Square,North,88,68,81
325,5,31,Entire home/apt,12,4,NA,Logan Square,North,88,68,81
70,5,35,Entire home/apt,3,1,1,Logan Square,North,88,68,81
42,4.5,83,Private room,1,1,1,Logan Square,North,88,68,81
90,4.5,8,Entire home/apt,2,2,2,Logan Square,North,88,68,81
43,5,6,Private room,2,1,1,Logan Square,North,88,68,81
46,4.5,11,Private room,2,1,2,Logan Square,North,88,68,81
85,4.5,27,Entire home/apt,5,2,2,Logan Square,North,88,68,81
150,4,4,Entire home/apt,6,2,2,Logan Square,North,88,68,81
90,5,43,Entire home/apt,4,2,2,Logan Square,North,88,68,81
35,5,5,Private room,2,1,10,Logan Square,North,88,68,81
65,5,27,Private room,2,1,1,Logan Square,North,88,68,81
68,4.5,7,Private room,2,1,1,Logan Square,North,88,68,81
90,5,10,Entire home/apt,4,2,3,Logan Square,North,88,68,81
70,5,5,Entire home/apt,4,0,2,Logan Square,North,88,68,81
49,5,74,Private room,2,1,1,Logan Square,North,88,68,81
35,4.5,82,Private room,2,1,1,Logan Square,North,88,68,81
60,4.5,6,Private room,3,1,NA,Logan Square,North,88,68,81
249,4.5,13,Entire home/apt,5,3,1,Logan Square,North,88,68,81
109,5,23,Private room,2,1,1,Logan Square,North,88,68,81
195,4.5,21,Entire home/apt,7,2,2,Logan Square,North,88,68,81
140,5,40,Entire home/apt,5,2,2,Logan Square,North,88,68,81
35,4.5,47,Private room,2,1,1,Logan Square,North,88,68,81
42,5,41,Private room,2,1,1,Logan Square,North,88,68,81
88,5,101,Private room,2,1,2,Logan Square,North,88,68,81
75,4.5,5,Private room,6,1,1,Logan Square,North,88,68,81
85,5,54,Entire home/apt,2,0,2,Logan Square,North,88,68,81
125,5,24,Entire home/apt,4,2,1,Logan Square,North,88,68,81
99,5,4,Entire home/apt,4,2,5,Logan Square,North,88,68,81
56,5,22,Private room,1,1,1,Logan Square,North,88,68,81
129,5,82,Entire home/apt,4,1,2,Logan Square,North,88,68,81
200,4.5,3,Entire home/apt,3,2,1,Logan Square,North,88,68,81
60,4.5,18,Private room,2,1,1,Logan Square,North,88,68,81
75,5,17,Private room,1,1,1,Logan Square,North,88,68,81
55,5,10,Private room,2,1,1,Logan Square,North,88,68,81
110,5,5,Entire home/apt,4,2,2,Logan Square,North,88,68,81
130,5,30,Private room,3,1,1,Logan Square,North,88,68,81
125,4.5,4,Entire home/apt,8,3,5,Logan Square,North,88,68,81
120,4.5,16,Entire home/apt,6,3,4,Logan Square,North,88,68,81
90,5,16,Private room,2,1,1,Logan Square,North,88,68,81
105,5,76,Entire home/apt,4,2,2,Logan Square,North,88,68,81
90,5,17,Entire home/apt,2,1,2,Logan Square,North,88,68,81
75,4.5,93,Entire home/apt,3,1,3,Logan Square,North,88,68,81
195,5,3,Entire home/apt,3,2,1,Logan Square,North,88,68,81
69,5,9,Private room,1,1,3,Logan Square,North,88,68,81
215,5,3,Entire home/apt,3,1,2,Logan Square,North,88,68,81
90,4,21,Entire home/apt,6,2,2,Logan Square,North,88,68,81
38,4.5,25,Private room,1,1,1,Logan Square,North,88,68,81
130,5,67,Entire home/apt,3,2,1,Logan Square,North,88,68,81
195,4.5,9,Entire home/apt,16,2,1,Logan Square,North,88,68,81
43,5,6,Private room,2,1,1,Logan Square,North,88,68,81
70,5,53,Private room,2,1,1,Logan Square,North,88,68,81
150,4,11,Entire home/apt,6,2,2,Logan Square,North,88,68,81
80,5,28,Private room,2,1,2,Logan Square,North,88,68,81
80,4.5,3,Entire home/apt,6,3,3,Logan Square,North,88,68,81
75,5,6,Private room,2,1,NA,Logan Square,North,88,68,81
45,5,16,Private room,3,1,1,Logan Square,North,88,68,81
145,4.5,27,Entire home/apt,8,3,NA,Logan Square,North,88,68,81
89,5,8,Entire home/apt,4,1,1,Logan Square,North,88,68,81
39,4.5,78,Private room,2,1,2,Logan Square,North,88,68,81
90,4.5,14,Entire home/apt,2,1,1,Logan Square,North,88,68,81
140,5,17,Entire home/apt,4,2,1,Logan Square,North,88,68,81
80,4.5,29,Private room,2,1,2,Logan Square,North,88,68,81
100,4.5,6,Entire home/apt,4,2,3,Logan Square,North,88,68,81
70,5,29,Private room,2,1,1,Logan Square,North,88,68,81
125,5,3,Entire home/apt,4,2,2,Logan Square,North,88,68,81
140,4.5,13,Entire home/apt,3,1,2,Logan Square,North,88,68,81
125,4,3,Entire home/apt,2,1,2,Logan Square,North,88,68,81
40,5,5,Private room,6,1,1,Logan Square,North,88,68,81
250,4.5,16,Entire home/apt,7,3,1,Logan Square,North,88,68,81
40,5,5,Shared room,2,1,1,Logan Square,North,88,68,81
30,5,9,Private room,1,1,1,Logan Square,North,88,68,81
95,5,97,Entire home/apt,3,1,2,Logan Square,North,88,68,81
60,5,4,Private room,2,1,1,Logan Square,North,88,68,81
105,5,40,Entire home/apt,4,2,2,Logan Square,North,88,68,81
49,4.5,57,Private room,3,1,4,Logan Square,North,88,68,81
75,5,19,Private room,2,1,1,Logan Square,North,88,68,81
150,5,66,Entire home/apt,6,3,2,Logan Square,North,88,68,81
145,5,5,Entire home/apt,7,1,2,Logan Square,North,88,68,81
90,5,20,Entire home/apt,4,1,1,Logan Square,North,88,68,81
110,5,26,Entire home/apt,2,1,NA,Logan Square,North,88,68,81
35,4.5,33,Private room,2,1,2,Logan Square,North,88,68,81
108,4.5,11,Entire home/apt,2,1,1,Logan Square,North,88,68,81
75,4.5,7,Private room,2,1,1,Logan Square,North,88,68,81
69,5,10,Private room,2,1,2,Logan Square,North,88,68,81
25,5,53,Shared room,10,1,1,Logan Square,North,88,68,81
125,5,28,Entire home/apt,4,2,2,Logan Square,North,88,68,81
69,5,50,Private room,2,1,2,Logan Square,North,88,68,81
110,5,22,Entire home/apt,4,2,2,Logan Square,North,88,68,81
45,4.5,33,Private room,2,1,1,Logan Square,North,88,68,81
